unique_id,track_id,veh_type,traveled_distance,avg_speed
20181024_d1_0830_0900_273,274,Motorcycle,100.78,14.511744
20181024_d1_0830_0900_274,275,Car,482.48,40.393771
20181024_d1_0830_0900_275,276,Motorcycle,452.49,26.021697
20181024_d1_0830_0900_276,277,Car,198.64,23.997212
20181024_d1_0830_0900_277,278,Motorcycle,87.37,18.287492
20181024_d1_0830_0900_278,279,Motorcycle,55.07,13.216367
20181024_d1_0830_0900_279,280,Taxi,199.6,26.613805
20181024_d1_0830_0900_280,281,Motorcycle,46.91,3.377796
20181024_d1_0830_0900_281,282,Car,401.47,21.766252
20181024_d1_0830_0900_282,283,Car,216.92,14.78977
20181024_d1_0830_0900_283,284,Motorcycle,120.73,18.574441
20181024_d1_0830_0900_284,285,Medium Vehicle,492.0,40.624114
20181024_d1_0830_0900_285,286,Motorcycle,458.01,40.812929
20181024_d1_0830_0900_286,287,Car,55.18,23.098429
20181024_d1_0830_0900_287,288,Motorcycle,463.81,47.98007
20181024_d1_0830_0900_288,289,Car,442.47,16.320539
20181024_d1_0830_0900_289,290,Motorcycle,481.77,44.244042
20181024_d1_0830_0900_290,291,Motorcycle,323.78,15.098643
20181024_d1_0830_0900_291,292,Medium Vehicle,204.48,1.547778
20181024_d1_0830_0900_292,293,Car,211.4,14.305373
20181024_d1_0830_0900_293,294,Motorcycle,349.99,16.622103
20181024_d1_0830_0900_294,295,Motorcycle,236.55,27.648121
20181024_d1_0830_0900_295,296,Car,483.77,44.886011
20181024_d1_0830_0900_296,297,Bus,483.74,36.585703
20181024_d1_0830_0900_297,298,Car,492.89,45.968721
20181024_d1_0830_0900_298,299,Motorcycle,489.51,38.477074
20181024_d1_0830_0900_299,300,Motorcycle,220.69,32.295659
20181024_d1_0830_0900_300,301,Car,459.86,36.145951
20181024_d1_0830_0900_301,302,Taxi,265.83,15.485314
20181024_d1_0830_0900_302,303,Car,458.12,21.700224
20181024_d1_0830_0900_303,304,Car,483.4,47.808474
20181024_d1_0830_0900_304,305,Car,131.95,8.105998
20181024_d1_0830_0900_305,306,Car,384.61,25.174583
20181024_d1_0830_0900_306,307,Car,349.78,17.835916
20181024_d1_0830_0900_307,308,Taxi,208.41,16.169694
20181024_d1_0830_0900_308,309,Taxi,483.03,42.002383
20181024_d1_0830_0900_309,310,Car,482.64,45.966073
20181024_d1_0830_0900_310,311,Taxi,100.27,24.390691
20181024_d1_0830_0900_311,312,Heavy Vehicle,265.03,16.856961
20181024_d1_0830_0900_312,313,Taxi,207.24,15.225623
20181024_d1_0830_0900_313,314,Taxi,347.3,20.100852
20181024_d1_0830_0900_314,315,Car,215.01,10.131479
20181024_d1_0830_0900_315,316,Car,217.01,10.015645
20181024_d1_0830_0900_316,317,Car,263.7,20.548116
20181024_d1_0830_0900_317,318,Taxi,346.55,21.659506
